# Biblioteca Nord
9788408143086;3
9788410257740;4
9788413898315;2
9788415961611;2
9788416883462;3
9788417447694;2
9788418050886;2
9788418226106;4
9788418397707;3
9788424644819;3
9788424648343;2
9788427250529;2
9788429771534;3
9788433938589;4
9788466370554;2
9788466421584;3
9788484419105;2
9788491291923;3
9788491298359;2
9788497912167;3

# Biblioteca Central
9791387598334;3
9789974958012;2
9789878741994;3
9788728022634;3
9788499792798;1
9788490576182;1
9788473294300;2
9788466650632;2
9788466426527;2
9788466423427;4
9788439728344;3
9788420413013;2
9788419975287;3
9788419729316;2
9788419245595;2
9788418226991;2
9788417909925;3
9788417627041;3
9788408163473;2
9786070767692;3

# Biblioteca Sud
9788410528314;4
9788411811439;2
9788415645016;2
9788416096879;3
9788416579846;4
9788416930524;3
9788417671402;2
9788417868703;2
9788418226540;4
9788418226687;4
9788418928321;2
9788419259653;3
9788419836335;4
9788425344459;2
9788466415712;3
9788466432047;2
9788419150592;4
9788491370987;2
9788497356794;2
9788499324401;2

